union_code,union_name,upazila_name,district_name,division_name,population,population_underserved,cells_no_road_connection,pct_underserved
uni_554961546,Narayanpur,Nageshwari,Kurigram,Rangpur,38508.91116,35460.00804,61,92.1
uni_554961142,Ballabherkhas,Nageshwari,Kurigram,Rangpur,28856.46693,26562.45096,39,92.1
uni_554961444,Kachakata,Nageshwari,Kurigram,Rangpur,25932.60562,21596.38356,27,83.3
uni_554961462,Kedar,Nageshwari,Kurigram,Rangpur,30265.13686,21050.70659,24,69.6
uni_554961453,Kaliganj,Nageshwari,Kurigram,Rangpur,20879.68723,7142.88659,11,34.2
uni_554961151,Bamandanga,Nageshwari,Kurigram,Rangpur,24902.92949,7939.74202,11,31.9
uni_408786997,Satkhira Range,Shyamnagar,Satkhira,Khulna,124318.4323895,23759.3010495,317,19.1
uni_507037109,Alinagar,Gomastapur,Chapainababganj,Rajshahi,13494.542870000001,2333.57758,3,17.3
uni_554906143,Baladia,Bhurungamari,Kurigram,Rangpur,28532.463,3226.24115,4,11.3
uni_603611227,Daulatpur,Baniachong,Habiganj,Sylhet,19113.2126,2014.03411,0,10.5
uni_507018142,Bholahat,Bholahat,Chapainababganj,Rajshahi,26614.72767,2190.4656,1,8.2
uni_107857177,Char Bishwas,Galachipa,Patuakhali,Barishal,19460.9132836,1425.64552,0,7.3
uni_554961564,Nunkhawa,Nageshwari,Kurigram,Rangpur,21605.701245,1507.89485,4,7.0
uni_559408611,Paria,Baliadangi,Thakurgaon,Rangpur,28018.8582,1833.81091,0,6.5
uni_208421161,Bhushanchhara,Barkal,Rangamati,Chattogram,15932.558022,989.71054,0,6.2
uni_554961160,Berubari,Nageshwari,Kurigram,Rangpur,18068.84342,1037.25617,2,5.7
uni_458990710,Singabaruna,Sreebardi,Sherpur,Mymensingh,27142.20935,1350.0158299999998,0,5.0
uni_308276152,Barat,Rajbari Sadar,Rajbari,Dhaka,19669.88859,986.33812,0,5.0
